experiment,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
baseline,0.25,0.7,0.5,4597,4227,3523,3223,300,1074,704,0.8187778716462261,0.9148453022991768,0.849339085564311,0.9148453022991768,0.7011094191864259,0.7624792997397681,0.7305077062556663,0.7663693713291277,0.8334516205346582,0.7985040797824116,3223,1374,1004
enhanced_balanced,0.25,0.7,0.5,4814,4227,3540,3267,273,1274,687,0.8180572212247526,0.9228813559322034,0.837005594184501,0.9228813559322034,0.6786456169505609,0.772888573456352,0.7227076650812962,0.7353552139592854,0.837473385379702,0.7830992146886406,3267,1547,960
