name,state,lr0,weight_decay,box,cls,dfl,mosaic,copy_paste,close_mosaic,final/metrics/mAP50(B),final/metrics/mAP50-95(B),final/metrics/precision(B),final/metrics/recall(B)
volcanic-sweep-2,finished,0.00017277992070938698,7.20056409483377e-05,12,0.5150205061041268,1.291618724666412,0.3246607118043379,0.008596619193078536,29,0.6696734830721888,0.4109162231758431,0.6939765272098831,0.6333898633244942
autumn-sweep-6,finished,0.00023321698803150065,0.0003215192895890351,8,1.858913006919867,1.1002248799979175,0.20721784725629083,0.07370601835116421,16,0.6689093819236944,0.4112062072520936,0.7324513277682434,0.6047589435201328
apricot-sweep-10,finished,0.00026960186915088143,0.0003108926818157249,10,0.7359288034521829,1.9607539049526632,0.25339621130536405,0.07118937113940259,29,0.6629394188162109,0.4082537057927606,0.7059067828411406,0.6110506923692008
winter-sweep-4,finished,0.0007296344591372148,1.0491201515869812e-05,9,1.6151482317627677,1.955459466845689,0.3983521412313868,0.13152173224847227,19,0.6594653047337755,0.4051670245237314,0.6715124578862118,0.6314516035464435
solar-sweep-3,finished,0.00015162137328295072,0.00019874969054498135,8,1.40851322030451,2.4444557075577573,0.37797147540721576,0.14368029395697643,15,0.658359531910506,0.4006993545672087,0.7166974980484099,0.6217693174925348
rose-sweep-8,finished,0.0005149299505572914,0.00015316782401536707,6,1.508690534341272,1.0110293666863084,0.02013711991327327,0.1618528183197248,18,0.657988582289506,0.4029530611373233,0.7108711830251218,0.6234454432992059
magic-sweep-5,finished,0.00012815292108712267,0.0003470451913199513,5,1.1269908506118926,1.52168593672256,0.26157706033696887,0.07356840353832696,25,0.6571102101817419,0.40486164129253,0.7042334915007863,0.6179103648310831
bright-sweep-7,finished,0.00010952242570465508,0.00023522012622279688,6,1.377217480560512,1.980713741149226,0.22735263466655292,0.08074571574160251,21,0.6561405725796614,0.4032518393580716,0.7070439068076586,0.6184074340852683
ancient-sweep-9,finished,0.0005939303389255668,0.00017874750788349683,5,0.8861456482085899,1.6761947572930538,0.11911149620814372,0.08839604393574733,12,0.649823899784372,0.40456469394252625,0.671761485182806,0.6156896897531953
unique-sweep-13,finished,0.00013823584906464298,2.970414917930184e-05,9,1.1442021976156147,1.08858226535103,0.04720275099093496,0.15972447478402424,12,0.6487147711109693,0.4021311540783293,0.6985733940782296,0.6219618853441052
drawn-sweep-8,finished,0.0005739525286076841,0.0003974126029171365,10,0.8932610436143242,1.8501998603294731,0.21534054244837256,0.03166955738898157,18,0.6441242949516285,0.39230965162071935,0.676230905396124,0.6239641984612204
mild-sweep-11,finished,0.0009235795267279596,3.398005432971987e-05,6,1.873811504813128,2.342531140173983,0.13735106533549413,0.1159975204177428,20,0.6432936819428038,0.3951259399977845,0.719594673518734,0.5799781309377546
