image,n_gt,d_matched,d_iou,d_f1,y_matched,y_iou,y_f1
220105_A095_1.jpg,15,10,0.7082648277282715,0.4864864864864865,11,0.7235499620437622,0.6285714285714286
220105_A095_3.jpg,15,8,0.6394762396812439,0.3333333333333333,8,0.6578305959701538,0.5925925925925926
220105_A095_4.jpg,16,10,0.6857913732528687,0.4210526315789474,11,0.7117218375205994,0.6470588235294118
220106_A207_1.jpg,24,17,0.6769405603408813,0.5,16,0.7827324867248535,0.5714285714285714
220106_A207_3.jpg,28,13,0.6397256851196289,0.41269841269841273,16,0.7295376658439636,0.509090909090909
220106_A226_2.jpg,28,16,0.6165539026260376,0.36363636363636365,13,0.7794488668441772,0.5581395348837209
220106_A226_4.jpg,17,11,0.6403895020484924,0.5789473684210527,13,0.8290873765945435,0.6451612903225806
220106_A227_1.jpg,18,7,0.6120259165763855,0.3888888888888889,9,0.7424612045288086,0.5806451612903226
220106_A227_2.jpg,18,8,0.6557228565216064,0.3902439024390244,9,0.7012917995452881,0.6
220106_A227_3.jpg,16,12,0.6621477603912354,0.5641025641025642,11,0.6952043771743774,0.7586206896551724
220106_A230_2.jpg,14,14,0.713573157787323,0.6666666666666666,11,0.8265022039413452,0.6666666666666666
220110_A359_1.jpg,14,9,0.6597779393196106,0.5333333333333333,6,0.6795029640197754,0.4761904761904762
220110_A359_3.jpg,15,7,0.7143410444259644,0.26315789473684204,6,0.7917437553405762,0.33333333333333337
220110_A366_3.jpg,18,5,0.662673830986023,0.14285714285714285,5,0.6535732746124268,0.27586206896551724
220112_A440_1.jpg,13,11,0.6774746775627136,0.8148148148148148,12,0.7702931761741638,0.7142857142857142
220112_A440_4.jpg,11,9,0.6775757074356079,0.5384615384615385,8,0.7828700542449951,0.30769230769230765
220112_A444_3.jpg,15,12,0.6641032099723816,0.5882352941176471,13,0.7685146927833557,0.8387096774193549
220112_A445_4.jpg,14,13,0.6910984516143799,0.7741935483870968,12,0.7943930625915527,0.7333333333333334
220117_A622_1.jpg,19,11,0.6623757481575012,0.5128205128205129,19,0.7846723794937134,0.8292682926829269
220117_A622_3.jpg,14,12,0.6935824751853943,0.7272727272727273,13,0.8056789636611938,0.7857142857142857
220117_A630_1.jpg,18,14,0.7129833102226257,0.7567567567567567,15,0.8077899217605591,0.7777777777777778
220117_A630_2.jpg,12,12,0.7060890793800354,0.8799999999999999,11,0.797398030757904,0.8799999999999999
220117_A630_4.jpg,14,12,0.7080252170562744,0.888888888888889,14,0.8601571321487427,1.0
220119_A848_3.jpg,19,14,0.6978387832641602,0.45,16,0.749334454536438,0.631578947368421
220124_B159_3.jpg,18,13,0.6921128630638123,0.43478260869565216,12,0.7688848376274109,0.631578947368421
220124_B182_2.jpg,17,12,0.7111229300498962,0.5853658536585366,12,0.7275684475898743,0.7333333333333334
220124_B182_4.jpg,18,15,0.6826859712600708,0.4444444444444445,14,0.7724531888961792,0.7272727272727272
220124_B183_1.jpg,10,8,0.6540712714195251,0.6666666666666666,7,0.789642870426178,0.7
220124_B183_3.jpg,17,10,0.613311767578125,0.5142857142857143,12,0.7041289806365967,0.625
220124_B188_2.jpg,9,4,0.6705984473228455,0.2608695652173913,6,0.6350200772285461,0.5454545454545455
220124_B188_4.jpg,8,8,0.6638169884681702,0.8,7,0.6976146697998047,0.7777777777777777
220125_B274_4.jpg,20,14,0.6816850900650024,0.5909090909090908,16,0.7946246862411499,0.6842105263157895
220125_B275_4.jpg,15,12,0.6363103985786438,0.606060606060606,13,0.7334187626838684,0.5517241379310344
220125_B283_2.jpg,15,15,0.7050492167472839,0.9032258064516129,14,0.7642158269882202,0.8125
220125_B284_1.jpg,19,17,0.6467282176017761,0.7894736842105263,15,0.8084699511528015,0.7567567567567567
220125_B284_2.jpg,11,9,0.6768112182617188,0.64,10,0.763403058052063,0.9523809523809523
220125_B284_3.jpg,9,8,0.7057409286499023,0.6086956521739131,8,0.8410848379135132,0.8421052631578948
220125_B288_1.jpg,13,12,0.6561734080314636,0.7272727272727274,12,0.7425221800804138,0.9230769230769231
220125_B288_3.jpg,9,8,0.6547067165374756,0.4800000000000001,8,0.827079176902771,0.6666666666666666
220126_B359_4.jpg,20,14,0.6473926901817322,0.7368421052631577,17,0.8331593871116638,0.85
220126_B362_3.jpg,14,13,0.7014977931976318,0.5945945945945946,12,0.8361201882362366,0.588235294117647
220126_B362_4.jpg,14,11,0.6975579857826233,0.7333333333333334,12,0.8014844059944153,0.8275862068965518
220126_B363_4.jpg,13,12,0.7236003875732422,0.7586206896551724,11,0.8049848675727844,0.8148148148148148
220126_B366_3.jpg,13,12,0.6924696564674377,0.6857142857142856,13,0.8123553395271301,0.896551724137931
220127_B425_1.jpg,14,13,0.6880214214324951,0.8387096774193549,12,0.8087989687919617,0.75
220127_B425_3.jpg,15,13,0.6450421214103699,0.611111111111111,13,0.7975300550460815,0.8387096774193549
220127_B426_2.jpg,10,8,0.7066266536712646,0.41666666666666663,10,0.7982239127159119,0.7272727272727272
220127_B426_3.jpg,10,9,0.6843282580375671,0.7826086956521738,10,0.7973541617393494,0.9523809523809523
220127_B426_4.jpg,9,9,0.7626641988754272,0.6666666666666667,9,0.8117519617080688,0.8421052631578948
220127_B433_4.jpg,15,11,0.6819625496864319,0.6875,14,0.821865975856781,0.9032258064516129
220127_B438_1.jpg,12,11,0.7066249251365662,0.75,8,0.8291562795639038,0.7272727272727272
220127_B438_2.jpg,9,8,0.6561691164970398,0.8888888888888888,9,0.830420732498169,1.0
220127_B438_4.jpg,9,6,0.6743643879890442,0.5454545454545455,6,0.7849952578544617,0.5714285714285715
220128_B558_1.jpg,11,10,0.6616184115409851,0.8181818181818182,9,0.741182804107666,0.8571428571428572
220128_B558_4.jpg,19,15,0.658218264579773,0.6363636363636364,16,0.6799606084823608,0.5416666666666666
220128_B559_2.jpg,10,3,0.5352016687393188,0.11764705882352941,4,0.7049411535263062,0.4210526315789474
220128_B562_2.jpg,14,6,0.6954900622367859,0.1702127659574468,9,0.7517797946929932,0.5
220128_B562_3.jpg,17,6,0.6697244048118591,0.18867924528301885,10,0.7997096180915833,0.4666666666666667
